screen_date,ticker1,ticker2,pair,name1,name2,economic_link,corr252,distance252,eg_p252,beta252,half_life252,beta_cv,crossings126,opportunities126,turnover1_yen,turnover2_yen,val_return,val_sharpe,val_trades,val_win_rate,eg_q_bh,score,eligible,overall_rank,eligible_rank,shortlist
2025-11-28,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.6706720650327732,0.11617183231732409,0.8945118727942258,0.4904113266433349,36.43320763265326,0.2627728989598191,1,6,17331762952.58789,5852412132.128906,-0.10095627464397938,-1.5135634292482423,6,0.16666666666666666,0.9796754862667552,0.4722739809719836,False,59.0,,False
2025-12-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.6732116355130049,0.09402092844042526,0.7727747261145406,0.6400696690401967,27.716506709396278,0.9044651949462565,5,7,18163048750.48828,6849880120.3125,0.014291022456601299,0.30543457142264036,6,0.6666666666666666,0.87903125095529,0.5650354261541146,False,40.0,,False
2026-01-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.6846954109610301,0.06406473623354512,0.5746762328763909,0.743361405835106,24.459139639925592,0.7144462101562623,1,8,20194359333.984375,6942832035.644531,-0.021925933889031968,-0.3363505049717358,5,0.6,0.7850558617533376,0.5644460303675527,False,37.0,,False
2026-02-27,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7010509404762072,0.05980995941019152,0.2543883740464793,0.8099459214145512,16.317864373425067,0.23687914450395883,3,3,22159305415.771484,6942832035.644531,-0.08210006834137495,-1.1147268512337405,4,0.25,0.7124009395717595,0.6347478262527577,False,22.0,,False
2026-03-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7344614121677933,0.020140674271493124,0.29906758359696484,0.8819612675776639,14.621290147246937,0.3758667433949862,5,1,25955910032.226562,8358044400.0,-0.09521269673683408,-1.1348688025127853,5,0.2,0.8891801692244332,0.6621560382944744,False,15.0,,False
2026-04-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.691196886596835,0.08831435043360306,0.10095216815892383,0.8982619107067008,11.274751309893581,0.9256722886956961,8,1,33173259000.0,10983800465.698242,0.012165099433581794,0.22282407412131328,8,0.625,0.5741654564038793,0.7127693696234617,False,4.0,,False
2026-05-29,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7731395310889404,0.03316053862823885,0.11172854235670443,0.916997771500052,16.106927898130166,0.2619353399351521,9,0,43909175200.0,16274047500.0,0.12179879370566704,1.266261976215543,13,0.6153846153846154,0.847274779538342,0.8361504545688786,False,2.0,,False
2026-06-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7808245166902418,0.6994052462458379,0.09193601384329148,0.8143239999710354,16.264336253061597,0.24940103990783677,11,2,94562834800.0,49842000000.0,0.11650313436823656,0.9924670698988157,11,0.45454545454545453,0.7605615690672295,0.8029568860850744,False,3.0,,False
2026-07-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8023433178269203,0.5718697853777617,0.048493887322535796,0.7943403487910834,12.104499822460161,0.5104906578097798,20,8,265580939100.0,323346800000.0,0.39631250404932716,2.653842155999487,7,0.7142857142857143,0.3152102675964827,0.8849419477710696,False,1.0,,False
2026-08-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8087913501488131,0.44247512940625316,0.037473760776558444,0.7885692915916978,11.299481417048868,0.23251696547135353,19,13,266254020000.0,323346800000.0,0.38791059265085015,3.4127363099658545,7,0.7142857142857143,0.22734081537778789,0.9010331316601582,True,1.0,1.0,True
2026-09-01,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8088438962465972,0.45795186049561265,0.011370085363794413,0.7883106284184679,11.267380556970721,0.2140101438470879,18,13,265580939100.0,322816625500.0,0.40064129294869444,3.543085605904893,7,0.7142857142857143,0.11496419645614352,0.904213575424723,True,1.0,1.0,True
