Date,z,beta,target_dir,position_dir,w_murata,w_taiyo,gross_return,turnover,transaction_cost,borrow_cost,net_return,equity,drawdown
2026-02-18,-0.4015935920194073,0.7890921135320492,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-02-19,-0.35001420153952495,0.7928170502418762,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-02-20,-0.2712869929543175,0.7967716931927092,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-02-24,0.20668148285414042,0.8000701149781179,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-02-25,0.4222790626196784,0.8012852676347735,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-02-26,0.48784100486288784,0.8036897909268963,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-02-27,0.7296410822451478,0.8063099481229559,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-03-02,0.43219687316529903,0.8099459214145512,0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1.0376975393345642,0.0
2026-03-03,0.23812428113185904,0.8133696524398969,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-03-04,0.4970277134100144,0.8158582505506831,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-03-05,0.7038002591993167,0.818439339940066,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-03-06,0.7127934092628855,0.821675554236857,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-03-09,0.5939502230956868,0.8245803905394051,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-03-10,0.9169014864067767,0.827548576395516,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-03-11,1.183779138978847,0.8316414615237966,-1,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-03-12,1.3104758015253912,0.8356125554735613,-1,-1,-0.5,0.5,0.0,1.0,0.001,0.0,-0.001,1.0366598417952297,-0.0009999999999998899
2026-03-13,1.2264672367889558,0.8398725677395478,-1,-1,-0.5,0.5,0.0014085668179938948,0.0,0.0,1.984126984126984e-05,0.001388725548152625,1.0380994778022745,0.0
2026-03-16,0.9435890022323057,0.8444132198236809,-1,-1,-0.5,0.5,0.01122580097818393,0.0,0.0,1.984126984126984e-05,0.01120595970834266,1.0497323787237784,0.0
2026-03-17,1.0724998660277882,0.8489677989719271,-1,-1,-0.5,0.5,-0.0013897225872859797,0.0,0.0,1.984126984126984e-05,-0.0014095638571272496,1.0482527139030733,-0.0014095638571272051
2026-03-18,0.7851279209055059,0.8533586690235153,-1,-1,-0.5,0.5,0.013367048494032918,0.0,0.0,1.984126984126984e-05,0.013347207224191648,1.062243960098859,0.0
2026-03-19,0.9400695174967894,0.8567878486243987,-1,-1,-0.5,0.5,-0.008941613701915208,0.0,0.0,1.984126984126984e-05,-0.008961454971756478,1.0527247086814127,-0.008961454971756488
2026-03-23,0.6938660962084515,0.8603769400575224,-1,-1,-0.5,0.5,0.004573659111552719,0.0,0.0,1.984126984126984e-05,0.00455381784171145,1.0575186252422166,-0.00444844596358307
2026-03-24,0.6932516804476474,0.8632817289292439,-1,-1,-0.5,0.5,0.0007424257958018599,0.0,0.0,1.984126984126984e-05,0.00072258452596059,1.0582827718367318,-0.003729075815840366
2026-03-25,0.7321986337224535,0.8656891970248197,-1,-1,-0.5,0.5,0.0007386599663297133,0.0,0.0,1.984126984126984e-05,0.0007188186964884435,1.0590434852792996,-0.0030129376487689763
2026-03-26,0.8109858209286835,0.8686276351403727,-1,-1,-0.5,0.5,-0.002277479385905501,0.0,0.0,1.984126984126984e-05,-0.002297320655746771,1.0566105228052334,-0.005303336620620769
2026-03-27,0.9852382132124218,0.8724538346389331,-1,-1,-0.5,0.5,-0.007161307437526909,0.0,0.0,1.984126984126984e-05,-0.007181148707368179,1.0490228455151989,-0.012446401279071151
2026-03-30,1.0851593654387552,0.8760010205563542,-1,-1,-0.5,0.5,-0.007530323450134768,0.0,0.0,1.984126984126984e-05,-0.007550164719976038,1.0411025502365412,-0.0199025936192192
2026-03-31,1.005085955454943,0.8793810472620279,-1,-1,-0.5,0.5,0.0005611593816926552,0.0,0.0,1.984126984126984e-05,0.0005413181118513854,1.041666117903279,-0.019372049141766712
2026-04-01,0.9176369703989813,0.8819612675776639,-1,-1,-0.5,0.5,0.009081783418934841,0.0,0.0,1.984126984126984e-05,0.00906194214909357,1.0511056360023894,-0.010485655381305192
2026-04-02,0.7307168368086603,0.884171858733589,-1,-1,-0.5,0.5,0.0035429866736884086,0.0,0.0,1.984126984126984e-05,0.0035231454038471386,1.054808833992829,-0.006999452466021072
2026-04-03,0.4197105355542019,0.8864440673120348,0,-1,-0.5,0.5,0.019910961400323113,0.0,0.0,1.984126984126984e-05,0.019891120130481842,1.075790163224474,0.0
2026-04-06,-0.044047390061366154,0.8879759919696102,0,0,0.0,-0.0,0.019299015014491494,1.0,0.001,1.984126984126984e-05,0.018279173744650223,1.0954547185308396,0.0
2026-04-07,-0.208084114519013,0.8886331691176624,0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1.0954547185308396,0.0
2026-04-08,-0.5731367204836678,0.8889007415082233,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0954547185308396,0.0
2026-04-09,-0.207323407501983,0.8888429934688328,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0954547185308396,0.0
2026-04-10,0.09150659424366384,0.8894745279416655,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0954547185308396,0.0
2026-04-13,-0.12013784603016486,0.8903745847678899,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0954547185308396,0.0
2026-04-14,-0.09457604847185298,0.8911725929772412,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0954547185308396,0.0
2026-04-15,-0.7688293907375701,0.8917106039540924,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0954547185308396,0.0
2026-04-16,-0.740762776536577,0.8904905871008212,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0954547185308396,0.0
2026-04-17,-1.2417237509328483,0.8907150726785005,1,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0954547185308396,0.0
2026-04-20,-0.8582871874039597,0.8911106094807616,1,1,0.5,-0.5,0.0,1.0,0.001,0.0,-0.001,1.0943592638123087,-0.0010000000000000009
2026-04-21,-0.3417213917631718,0.8923794870237237,0,1,0.5,-0.5,0.01965214460487502,0.0,0.0,1.984126984126984e-05,0.01963230333503375,1.1158440568369763,0.0
2026-04-22,-0.47506007251970245,0.8964631229326636,0,0,0.0,-0.0,-0.005311316180881431,1.0,0.001,1.984126984126984e-05,-0.006331157450722701,1.1087794724226883,-0.0063311574507226576
2026-04-23,-0.6661947013595587,0.8988805499169563,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.1087794724226883,-0.0063311574507226576
2026-04-24,-0.9175844533808154,0.8998340801654422,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.1087794724226883,-0.0063311574507226576
2026-04-27,-1.027100591739523,0.8987320022174659,1,0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1.1087794724226883,-0.0063311574507226576
2026-04-28,-1.3144874758242915,0.8973964187250081,1,1,0.5,-0.5,-0.0,1.0,0.001,0.0,-0.001,1.1076706929502655,-0.007324826293272024
2026-04-30,0.008660190140051795,0.8958003679769451,0,1,0.5,-0.5,0.047372839456598426,0.0,0.0,1.984126984126984e-05,0.04735299818675716,1.1601222212650635,0.0
2026-05-01,0.4552076324365609,0.8982619107067008,0,0,0.0,-0.0,0.01773193266214268,1.0,0.001,1.984126984126984e-05,0.01671209139230141,1.179510289853085,0.0
2026-05-07,0.80006499109864,0.902239128396119,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.179510289853085,0.0
2026-05-08,1.2014138624668007,0.9071507080255222,-1,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.179510289853085,0.0
2026-05-11,1.2380381208047238,0.9140010760786417,-1,-1,-0.5,0.5,0.0,1.0,0.001,0.0,-0.001,1.1783307795632318,-0.0010000000000000009
2026-05-12,1.9720471551394985,0.9200205313870671,-1,-1,-0.5,0.5,-0.02826969922943079,0.0,0.0,1.984126984126984e-05,-0.02828954049927206,1.144996343253239,-0.029261250958772744
2026-05-13,1.8323709669170745,0.9277919840833821,-1,-1,-0.5,0.5,0.0023248725251115987,0.0,0.0,1.984126984126984e-05,0.0023050312552703287,1.147635595611608,-0.02702366780153065
2026-05-14,1.607049778866331,0.9347101097624234,-1,-1,-0.5,0.5,0.007435725210518385,0.0,0.0,1.984126984126984e-05,0.007415883940677115,1.1561463279948534,-0.019808188244921254
2026-05-15,1.3934668909757535,0.9422653815746364,-1,-1,-0.5,0.5,0.0041197201346316326,0.0,0.0,1.984126984126984e-05,0.004099878864790363,1.1608863878896045,-0.015789520552465963
2026-05-18,0.5120244492809757,0.949170894858741,-1,-1,-0.5,0.5,0.03031746015717718,0.0,0.0,1.984126984126984e-05,0.030297618887335908,1.1960584812413797,0.0
2026-05-19,-0.5648517400691846,0.9505915820464004,0,-1,-0.5,0.5,0.039165139101360436,0.0,0.0,1.984126984126984e-05,0.03914529783151917,1.242878546713488,0.0
2026-05-20,-0.7581569997099169,0.9499339360561576,0,0,0.0,-0.0,0.007280595189292027,1.0,0.001,1.984126984126984e-05,0.006260753919450758,1.2506599034462258,0.0
2026-05-21,0.04488699268094081,0.9499565775345845,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.2506599034462258,0.0
2026-05-22,-0.6776634569514853,0.9514874214905346,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.2506599034462258,0.0
2026-05-25,-1.2425136740519314,0.950618840105029,1,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.2506599034462258,0.0
2026-05-26,-1.98122999028818,0.9477570485579325,1,1,0.5,-0.5,0.0,1.0,0.001,0.0,-0.001,1.2494092435427795,-0.001000000000000112
