period,start,end,strategy,tc_bp,borrow_rate,total_return,ann_return,ann_vol,sharpe,max_drawdown,trades,win_rate,avg_holding_days,turnover
holdout_2026,2026-01-05,2026-09-01,low_always,10.0,0.01,0.33245587104741126,0.5628036238880507,0.22596293827005992,2.0885431225596034,-0.15691390382417925,11,0.6363636363636364,8.454545454545455,22.0
holdout_2026,2026-01-05,2026-09-01,low_always,10.0,0.03,0.3275622905390134,0.5538845385774491,0.2259246079762274,2.0634874797950626,-0.15745480478187035,11,0.6363636363636364,8.454545454545455,22.0
holdout_2026,2026-01-05,2026-09-01,low_always,10.0,0.05,0.32268648959422186,0.545016005448133,0.225886703393705,2.038419492064021,-0.1579953803936277,11,0.6363636363636364,8.454545454545455,22.0
holdout_2026,2026-01-05,2026-09-01,low_always,20.0,0.01,0.30356850423954795,0.5104178650405033,0.2256349022407559,1.93990873800201,-0.157757833850381,11,0.6363636363636364,8.454545454545455,22.0
holdout_2026,2026-01-05,2026-09-01,low_always,20.0,0.03,0.2987804584634124,0.5017967487664838,0.22559606753732492,1.9147956896139655,-0.1582981933656722,11,0.6363636363636364,8.454545454545455,22.0
holdout_2026,2026-01-05,2026-09-01,low_always,20.0,0.05,0.29400981084218847,0.4932245015057892,0.22555765899367192,1.8896704234084467,-0.15883822786070134,11,0.6363636363636364,8.454545454545455,22.0
holdout_2026,2026-01-05,2026-09-01,low_structure_gate,5.0,0.01,0.18010618213353768,0.29383008096734864,0.19574153424791096,1.4127716581243472,-0.15649193881107792,6,0.6666666666666666,8.0,12.0
holdout_2026,2026-01-05,2026-09-01,low_structure_gate,5.0,0.03,0.17786777512984897,0.29001457802235064,0.19570109445255324,1.3979233468548067,-0.15703311048996937,6,0.6666666666666666,8.0,12.0
holdout_2026,2026-01-05,2026-09-01,low_structure_gate,5.0,0.05,0.17563352556929646,0.2862101766598486,0.19566107180007786,1.3830659491316926,-0.15757395666009122,6,0.6666666666666666,8.0,12.0
holdout_2026,2026-01-05,2026-09-01,low_structure_gate,10.0,0.01,0.17309528326380086,0.28189301848451587,0.19544210646077753,1.367181122884161,-0.1569139038241789,6,0.6666666666666666,8.0,12.0
holdout_2026,2026-01-05,2026-09-01,low_structure_gate,10.0,0.03,0.17087003897292674,0.27811248791878285,0.19540199320087412,1.3522983633810055,-0.15745480478187035,6,0.6666666666666666,8.0,12.0
holdout_2026,2026-01-05,2026-09-01,low_structure_gate,10.0,0.05,0.16864892792950648,0.27434295784942697,0.1953622978564441,1.3374066312219473,-0.15799538039362804,6,0.6666666666666666,8.0,12.0
holdout_2026,2026-01-05,2026-09-01,low_structure_gate,20.0,0.01,0.15918788981916876,0.2583308814114529,0.19490880285545661,1.2751506769426906,-0.1577578338503811,6,0.6666666666666666,8.0,12.0
holdout_2026,2026-01-05,2026-09-01,low_structure_gate,20.0,0.03,0.15698875837446136,0.254619387566164,0.19486935894924778,1.2602039143784527,-0.1582981933656722,6,0.6666666666666666,8.0,12.0
holdout_2026,2026-01-05,2026-09-01,low_structure_gate,20.0,0.05,0.15479371217252846,0.250918694652281,0.19483033437291344,1.2452484196476765,-0.15883822786070112,6,0.6666666666666666,8.0,12.0
holdout_2026,2026-01-05,2026-09-01,low_confirmed_gate,5.0,0.01,0.12217140514162073,0.19638198117895733,0.19272931397207196,1.0251957643406373,-0.15649193881107804,5,0.6,8.8,10.0
holdout_2026,2026-01-05,2026-09-01,low_confirmed_gate,5.0,0.03,0.12021844839227769,0.19314471237252695,0.19269889392556733,1.0112628204342462,-0.15703311048996915,5,0.6,8.8,10.0
holdout_2026,2026-01-05,2026-09-01,low_confirmed_gate,5.0,0.05,0.11826881329233285,0.18991607552746492,0.1926688790744842,0.9973233793960465,-0.15757395666009077,5,0.6,8.8,10.0
holdout_2026,2026-01-05,2026-09-01,low_confirmed_gate,10.0,0.01,0.11661101619516101,0.1871731873505793,0.1924761091850087,0.9861353670040348,-0.15691390382417902,5,0.6,8.8,10.0
holdout_2026,2026-01-05,2026-09-01,low_confirmed_gate,10.0,0.03,0.11466762876885306,0.18396065862513922,0.19244601768620137,0.9721762572038183,-0.15745480478187013,5,0.6,8.8,10.0
